index,id,app_label,model
0,1,admin,logentry
1,2,auth,permission
2,3,auth,group
3,4,contenttypes,contenttype
4,5,sessions,session
5,6,accounts,user
6,7,accounts,user_client
7,8,accounts,user_si
8,9,accounts,client
9,10,accounts,si
10,11,djcelery,crontabschedule
11,12,djcelery,periodictask
12,13,djcelery,intervalschedule
13,14,djcelery,periodictasks
14,15,djcelery,taskmeta
15,16,djcelery,tasksetmeta
16,17,djcelery,taskstate
17,18,djcelery,workerstate
18,19,authtoken,token
19,20,accounts,user_master
20,21,accounts,user_admin
21,22,accounts,user_business_manager
22,23,accounts,user_sales_executive
