index,id,app,name,applied
0,1,contenttypes,0001_initial,2020-08-13 21:31:53.344579
1,2,admin,0001_initial,2020-08-13 21:31:53.465259
2,3,admin,0002_logentry_remove_auto_add,2020-08-13 21:31:53.572970
3,4,admin,0003_logentry_add_action_flag_choices,2020-08-13 21:31:53.673709
4,5,contenttypes,0002_remove_content_type_name,2020-08-13 21:31:53.806350
5,6,auth,0001_initial,2020-08-13 21:31:53.940988
6,7,auth,0002_alter_permission_name_max_length,2020-08-13 21:31:54.048696
7,8,auth,0003_alter_user_email_max_length,2020-08-13 21:31:54.143443
8,9,auth,0004_alter_user_username_opts,2020-08-13 21:31:54.246169
9,10,auth,0005_alter_user_last_login_null,2020-08-13 21:31:54.343941
10,11,auth,0006_require_contenttypes_0002,2020-08-13 21:31:54.442663
11,12,auth,0007_alter_validators_add_error_messages,2020-08-13 21:31:54.540406
12,13,auth,0008_alter_user_username_max_length,2020-08-13 21:31:54.637126
13,14,auth,0009_alter_user_last_name_max_length,2020-08-13 21:31:54.743844
14,15,auth,0010_alter_group_name_max_length,2020-08-13 21:31:54.846566
15,16,auth,0011_update_proxy_permissions,2020-08-13 21:31:54.974480
16,17,sessions,0001_initial,2020-08-13 21:31:55.072968
17,18,djcelery,0001_initial,2020-11-12 17:32:05.202054
18,19,authtoken,0001_initial,2021-01-06 17:18:00.389836
19,20,authtoken,0002_auto_20160226_1747,2021-01-06 17:18:00.435882
